mhjd,mag_A,magerr_A,mag_B,magerr_B,mag_C,magerr_C,mag_D,magerr_D,telescope
53295.15470,-10.92650,0.01738,-10.29676,0.01738,-10.33746,0.01738,-10.16256,0.01738,Mercator
53296.27573,-10.93988,0.01489,-10.31085,0.01489,-10.33667,0.01489,-10.15880,0.01489,Euler
53296.77700,-10.89666,0.01260,-10.31066,0.01750,-10.34666,0.01740,-10.18366,0.01880,SMARTS
53298.70300,-10.92066,0.01100,-10.34966,0.01700,-10.33966,0.01600,-10.15666,0.01900,SMARTS
53299.17743,-10.91615,0.00941,-10.32333,0.00941,-10.35511,0.00941,-10.15756,0.00941,Mercator
53301.12281,-10.93229,0.01105,-10.32528,0.01105,-10.31711,0.01105,-10.16341,0.01105,Mercator
53302.65900,-10.91066,0.02530,-10.37566,0.03950,-10.30466,0.03820,-10.14466,0.04340,SMARTS
53305.16242,-10.91993,0.02177,-10.32238,0.02177,-10.31449,0.02177,-10.15631,0.02177,Euler
53306.68400,-10.91666,0.02680,-10.39866,0.03730,-10.31966,0.03880,-10.11966,0.04380,SMARTS
53307.18517,-10.91781,0.01166,-10.29049,0.01166,-10.33942,0.01166,-10.16690,0.01166,Euler
53308.71100,-10.90666,0.01680,-10.34166,0.02440,-10.36866,0.02440,-10.16866,0.02770,SMARTS
53310.16421,-10.92616,0.00596,-10.30861,0.00596,-10.32955,0.00596,-10.16922,0.00596,Mercator
53310.29580,-10.93072,0.00954,-10.32093,0.00954,-10.35346,0.00954,-10.16667,0.00954,Euler
53310.67300,-10.92466,0.01000,-10.37066,0.01500,-10.35366,0.01500,-10.19466,0.01700,SMARTS
53313.17738,-10.94694,0.00894,-10.29876,0.00894,-10.32954,0.00894,-10.16324,0.00894,Mercator
53315.12422,-10.93253,0.00731,-10.32260,0.00731,-10.34630,0.00731,-10.17041,0.00731,Mercator
53315.65200,-10.91266,0.01050,-10.36566,0.01480,-10.37666,0.01480,-10.16766,0.01700,SMARTS
53320.69600,-10.90566,0.01260,-10.36366,0.01730,-10.35966,0.01660,-10.17966,0.01880,SMARTS
53323.63700,-10.87966,0.01100,-10.35766,0.01600,-10.34266,0.01600,-10.19866,0.01700,SMARTS
53326.60300,-10.86166,0.01200,-10.37066,0.01700,-10.33666,0.01700,-10.20066,0.01800,SMARTS
53329.10372,-10.88480,0.00670,-10.31141,0.00670,-10.30220,0.00670,-10.17801,0.00670,Mercator
53329.68200,-10.88166,0.01060,-10.35966,0.01490,-10.32566,0.01490,-10.19866,0.01600,SMARTS
53330.17067,-10.88909,0.00827,-10.30496,0.00827,-10.32101,0.00827,-10.19245,0.00827,Mercator
53332.06041,-10.87531,0.01304,-10.29924,0.01304,-10.30463,0.01304,-10.18145,0.01304,Mercator
53332.59400,-10.83866,0.06260,-10.38966,0.08310,-10.21966,0.09020,-10.22866,0.08990,SMARTS
53337.67700,-10.83666,0.03570,-10.30266,0.04890,-10.22566,0.05140,-10.22266,0.05170,SMARTS
53339.62200,-10.82466,0.01590,-10.31266,0.02310,-10.26966,0.02320,-10.16966,0.02520,SMARTS
53345.55500,-10.76066,0.01340,-10.27166,0.01860,-10.27166,0.01770,-10.10166,0.01980,SMARTS
53346.07229,-10.79978,0.00836,-10.30444,0.00836,-10.23368,0.00836,-10.10642,0.00836,Mercator
53346.20680,-10.80635,0.00828,-10.25166,0.00828,-10.25274,0.00828,-10.13040,0.00828,Euler
53348.65100,-10.75966,0.01370,-10.27066,0.01760,-10.23466,0.01780,-10.11166,0.01980,SMARTS
53349.08427,-10.80563,0.00726,-10.24027,0.00726,-10.20406,0.00726,-10.11822,0.00726,Mercator
53351.63900,-10.73966,0.01100,-10.25666,0.01500,-10.21066,0.01500,-10.08066,0.01700,SMARTS
53353.22352,-10.76049,0.01090,-10.22923,0.01090,-10.21705,0.01090,-10.07497,0.01090,Euler
53353.58400,-10.73566,0.01380,-10.25966,0.01770,-10.21866,0.01780,-10.07066,0.01920,SMARTS
53354.67000,-10.74266,0.01370,-10.21766,0.01860,-10.20566,0.01860,-10.07666,0.01990,SMARTS
53355.66000,-10.73966,0.01550,-10.20766,0.02090,-10.18266,0.02050,-10.07266,0.02190,SMARTS
53356.64700,-10.75266,0.01370,-10.19766,0.01940,-10.19166,0.01870,-10.08166,0.01990,SMARTS
53357.58200,-10.72366,0.01100,-10.22766,0.01500,-10.21666,0.01400,-10.05566,0.01600,SMARTS
53358.63000,-10.74866,0.01160,-10.22366,0.01600,-10.21766,0.01510,-10.04366,0.01720,SMARTS
53359.62400,-10.76266,0.01000,-10.23166,0.01500,-10.22266,0.01400,-10.08366,0.01600,SMARTS
53360.16356,-10.77491,0.01064,-10.19422,0.01064,-10.22793,0.01064,-10.04892,0.01064,Euler
53360.59500,-10.76366,0.01400,-10.22166,0.02100,-10.27066,0.02000,-10.01766,0.02400,SMARTS
53361.62500,-10.77566,0.01100,-10.24866,0.01600,-10.24566,0.01600,-10.05966,0.01800,SMARTS
53362.60500,-10.76966,0.01300,-10.22166,0.02000,-10.22366,0.02000,-10.04166,0.02300,SMARTS
53366.23016,-10.78701,0.01015,-10.19608,0.01015,-10.24642,0.01015,-9.98030,0.01015,Euler
53366.60300,-10.77866,0.02910,-10.23466,0.04100,-10.24166,0.04100,-9.99366,0.04800,SMARTS
53367.66900,-10.80366,0.01500,-10.16966,0.02430,-10.17966,0.02340,-10.08166,0.02540,SMARTS
53369.66200,-10.78466,0.01100,-10.18466,0.01800,-10.23266,0.01700,-10.01566,0.02000,SMARTS
53370.63700,-10.77766,0.01250,-10.15866,0.01780,-10.20566,0.01690,-10.02666,0.01900,SMARTS
53371.59200,-10.77366,0.01370,-10.17666,0.01950,-10.24866,0.01850,-10.01166,0.02100,SMARTS
53372.17164,-10.80790,0.00777,-10.19324,0.00777,-10.25769,0.00777,-9.97944,0.00777,Euler
53372.60900,-10.80266,0.01000,-10.19666,0.01500,-10.21966,0.01400,-10.03666,0.01600,SMARTS
53373.24000,-10.79371,0.03430,-10.18511,0.03580,-10.21271,0.03650,-9.99371,0.03520,Maidanak
53373.63400,-10.80166,0.01200,-10.19266,0.02000,-10.22366,0.01800,-10.00166,0.02100,SMARTS
53374.59100,-10.81466,0.01200,-10.15466,0.02100,-10.22066,0.01800,-10.00166,0.02200,SMARTS
53375.58600,-10.82866,0.01350,-10.18166,0.01950,-10.26666,0.01770,-10.02566,0.02090,SMARTS
53376.61200,-10.83666,0.01270,-10.21666,0.01860,-10.25466,0.01770,-9.99666,0.02030,SMARTS
53377.60300,-10.83666,0.01350,-10.20066,0.01860,-10.24766,0.01770,-10.00766,0.02100,SMARTS
53378.63600,-10.85466,0.01150,-10.17866,0.01690,-10.26866,0.01590,-10.00566,0.01810,SMARTS
53378.97461,-10.86418,0.01484,-10.20276,0.01484,-10.28595,0.01484,-10.03232,0.01484,Mercator
